manufacturer_id,manufacturer_name
5751,TRANSLATIONAL ONCOLOGY RESEARCH INTERNATIONAL TORI INC
6321,BIOCRYST PHARMACEUTICALS INC
6272,CHEMOCENTRYX INC
6215,NONO INC
6419,NATIONAL SURGICAL ADJUVANT BREAST AND BOWEL PROJECT FOUNDATION INC
6277,DOW PHARMACEUTICAL SCIENCES INC
6454,COLUMBIA UNIVERSITY
158,AMGEN CANADA INC
598,DUCHESNAY INC
751,REGENERON PHARMACEUTICALS INC
1397,AMGEN INC
991,ROYAL UNIVERSITY HOSPITAL
1067,TOM BAKER CANCER CENTRE
11990,"IMUNON, INC."
12176,"TELAVANT, INC."
12310,"TOURMALINE BIO, INC."
12532,"LIGACHEM BIOSCIENCES, INC."
11860,ASCENTAGE PHARMA GROUP INC.
12106,PHOILEX LTD.
11865,GAURAV GUPTA
12697,"ATAI THERAPEUTICS, INC."
13083,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY
12197,"ABBISKO THERAPEUTICS CO., LTD"
12280,ALENTIS THERAPEUTICS AG
12469,"ARTHEX BIOTECH, S.L."
12952,"LARIMAR THERAPEUTICS, INC."
11939,"PRIOVANT THERAPEUTICS, INC"
12431,"NEUMORA THERAPEUTICS, INC. (NEUMORA)"
12031,CELL TECHNOLOGIES INC.
13043,CATALYM GMBH
13122,SYMBIO PHARMACEUTICALS LTD
12609,VICORE PHARMA AB
12747,"CAPSIDA BIOTHERAPEUTICS, INC."
12521,EMPOWER RESEARCH INC.
12634,"ARTIVA BIOTHERAPEUTICS, INC"
12671,LABORATOIRES THÉA
12851,"ONL THERAPEUTICS, INC."
12100,"CALIWAY BIOPHARMACEUTICALS CO., LTD."
11893,BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG
12002,OPELLA HEALTHCARE GROUP SAS
12203,DR. RAJEEV MUNI
12319,"APNIMED, INC"
12528,RGENTA THERAPEUTICS INC.
12048,FILAMENT HEALTH CORP.
12651,DR. SUBODH VERMA
12981,NEUREN PHARMACEUTICALS LTD.
12427,DR. STEPHEN LOWNIE
12958,ALIXER NEXGEN THERAPEUTICS LTD
4580,ALBERTA CHILDRENS HOSPITAL
5215,PROMETHEUS LABORATORIES INCORPORATED USA
5227,DOW PHARMACEUTICAL SCIENCES
5290,S T A R T CLINIC FOR MOOD & ANXIETY DISORDERS
5385,DUKE CLINICAL RESEARCH INSTITUTE
3062,PRINCESS MARGARET HOSPITAL
3827,DYNAVAX TECHNOLOGIES CORPORATION
3867,BIOGEN INC
8820,DOMPÉ FARMACEUTICI S.P.A.
8832,DR MICHAEL SEY
9629,ANIKA THERAPEUTICS INC
9638,GENKYOTEX SA
9656,DR JULIE-ANN VAN KOUGHNETT
10513,"GALMED RESEARCH AND DEVELOPMENT, LTD."
7971,JANSSEN R&D IRELAND
7991,JANSSEN RESEARCH AND DEVELOPMENT LLC
8078,PEARL THERAPEUTICS INC
8857,LEADING BIOSCIENCES INC
11203,"CERIUM PHARMACEUTICALS, INC."
11623,PRAXIS PRECISION MEDICINE
10942,PRILENIA NEUROTHERAPEUTICS LTD.
11256,"KYOWA KIRIN, INC."
10112,"BIOHAVEN PHARMACEUTICALS, INC."
7649,DR SAMMY SLIWIN
8490,DR. CORINA VELEHORSCHI
8510,DR JONATHAN YOUNG
8512,LUMENA PHARMACEUTICALS INC
8519,DR SYLVIA STOCKLER
8531,SYNERGY PHARMACEUTICALS INC
9286,NITRIC SOLUTIONS INC
9288,DR SOHEL SOMANI
9295,NUBIYOTA
9299,OPKO BIOLOGICS LTD.
4824,ALLERGAN SALES LLC
9305,SEQIRUS UK LIMITED
10153,PETER MACCALLUM CANCER CENTRE
117,PFIZER CANADA INC
10155,PFIZER CANADA ULC
10178,"DOW PHARMACEUTICAL SCIENCES, A DIV OF VALEANT PHARMACEUTICALS NORTH AMERICA LLC"
7685,JDP THERAPEUTICS INC
8557,BARBARA ANN KARMANOS CANCER INSTITUTE
9382,CELTAXSYS INC
9385,MUNDIPHARM RESEARCH GMBH & CO. KG
8621,TRANSITION THERAPEUTICS IRELAND LIMITED
8631,"GENZYME, A SANOFI COMPANY"
9404,KITEPHARMA INC
9412,ABBVIE STEMCENTRX LLC
10297,"PROVENTION BIO, INC"
10312,SYROS PHARMACEUTICALS INC
10322,"MIRUM PHARMACEUTICALS, INC"
10329,STEMREGEN THERAPEUTICS INC0
7783,INSMED INC
8660,NORTHWEST BIOTHERAPEUTICS INC
8662,LOCEMIA SOLUTIONS ULC
9460,ASCENDIS PHARMA INC.
9465,ZIARCO PHARMA LTD
9469,"IRX THERAPEUTICS, INC"
10355,ALTAVANT SCIENCES GMBH
10366,SUMMIT (OXFORD) LIMITED
8708,NEWLINK GENETICS
8738,PAXVAX CORPORATION
9513,DR SOHAM REJ
